,Command,regexp,Name/Nickname,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Total Frames,RBNorway Notes,Notes,Needs Trans,Engrish Notes,gfycat
,"FC d/f,d,d/f+1+2",,Sparkling Death,h,30,11F,Same position,-6,,,,+5F on hit,,Wall Stun,https://gfycat.com/TenseLargeGalapagoshawk
,f+1+3,,,,,15,,,,,,,,,https://gfycat.com/CreamyDaringKakarikis
,f+2+4,,,,,15,,,,,,,,,https://gfycat.com/HarshHandyBoubou
IGNORE,,,,,,,,,,,,,,,
,Command,Move Name,Hit Level,dmg,start-up,block,NH,CH,total,Notes,,,,,
,"u/f+1+2, F",Cracker Tariata (1) to SB,M,15,,-3,'+5,'+5,,"JS 13F, Delayable, S2 patch・New Move",,,,,
,"u/f+1+2, B",Cracker Tariata (1) to RSB,M,15,,,,,,"JS 13F, Delayable, S2 patch・New Move",,,,,
,"b, B+3+4, D/B",Grater Langouste to Cancel,,,,,,,42,To crouching after moving,,,,,https://gfycat.com/BountifulRemoteEmperorshrimp
,"f, f, f+3",Perfect Slash,M,30,20F,'+9G,D,D,,"JS 3F, Meaty 6F",,,,,
,"f, f, f+3+4",Supersize Missile,M,27,26F,'+8G,D,D,,"JS 15F, Meaty 8F in actualy",,,,,
,During Charging 1+2,Charging to Crouching,SP,,,,,,105,"To Charging, To crouching after moving",,,,,
,During Charging 4,Suicre Tile,UB(H),42,73F,D,-,D,,"JS, Damage is under the influence of charging",,,,,
,"b, b, u/b with back against wall",Wall Jumping Attack to BT,M,21,36F,'+2,D,D,,"To Back toward, Air Status 5F, Invincibility during 8 to24F",,,,,
,BT d+3 or d+4,Crouch Spin Kick,L,12,10F,-11,'+3,'+3,,"CS 1F, To crouching after moving",,,,,
,f+3+4,Spinner Ball,SP,,,,,,48,"CS 8F, To crouching after moving, Cost 25F",,,,,
,"f, n, d, d/f+1+2 (Hold)",Granchi Canon (Hold),M,35,24F,-7,D,D,,"WB, Not bufferable, Start-up 27F in actualy, S2 patch・Causes Wall Bounce on hit.",,,,,
,During Rage d/f+1+2,Rage Art,"M,Th",55,20F,-22,Th,Th,,Guard Point 8F,,,,,
,During Rage f+2+3,Rage Drive,"M,M","27,16",26F,'+2C,D,D,,"JS 15F, Block force to crouching, S2 patch・Command changed from ・Damage changed from 27,20 to 27,16.・Active frames of 1st hit increased by 2F.・Opponent farther away on hit of 1st hit.",,,,,
,"During Rage f+2+3, F",Rage Drive to SB,"M,M,SP","27,16",,'+12C,D,D,,"JS 15F, Block force to crouching, S2 patch・Moves from Spinner Ball come out faster by 3F.・Changed from +9F to +12F on block.",,,,,
IGNORE,,,,,,,,,,,,,,,
,in rage f+2+3,"m (TJ), m (TJ)","27,16",26~33a 86~87s (29~) 1js15~ 2js14~,+2~+3s,KND(KND),KND(KND),Rage drive,,,,,,,
,"in rage f+2+3, f","m (TJ), m (TJ), (Special) (TC)(BAL)","27,16s",26~33 86~87 (29~) 115~ 214~,+12~+13s,KND(KND),KND(KND),Rage art,,,,,,,
,"d/f+1, 1+2","m, m","13,25",14~15,-12,KND,KND,,,,,,,,
,"u/f+1+2, f (BAL)",m (TJ) (BAL),15,16~18 js13~,?,?,?,,,,,,,,
,"u/f+1+2, B (REV BAL)",m (TJ) (REV BALL),15,16~18 js13~,?,?,?,,,,,,,,
,"Back against wall b, b, u/b",m,21,36 js5 pc8~24,+2,KND,KND,,,,,,,,
,,,,,,,,,,,,,,,
,1,h,7,10,+1,+8,+8,,,,,,,,
,2,h,8,10,0,+6,+6,,,,,,,,
,3,h,14,18~19,-9~-8,-4~-3,-4~-3,,,,,,,,
,4,h,15,13,-9,+7,Launch (JG?),,,,,,,,
,f+2,h,12,12,-8,+3,+3,,,,,,,,
,f+3,m,18,21~27,-4~+2,0~+6s,+8~+14s,,,,,,,,
,f+4,h,20,16~17,-6~-5,KND,KND(Throw),"Homing, Tail spin",,,,,,,
,d/f+1,m,13,14~15,-3~-2,+5~+6,+5~+6,,,,,,,,
,d/f+2,m,14,15~16,-8~-7,+3~+4a,Launch (JG?),,,,,,,,
,d/f+3,m,14,18,-7,+4,+4,,,,,,,,
,d/f+4,m,16,13~14,-9~-8,+2~+3,+2~+3,,,,,,,,
,d+1,m,18,18~19s,-11~-10,+5~+6s,KND,,,,,,,,
,d+2,m,12,15,-9,+2,+2,,,,,,,,
,d+3,l (TC),14,19s cs6~,-18~-17,-7~-6,-7~-6,,,,,,,,
,d+4,l,11,16,-12,-1,-1,,,,,,,,
,d/b+2,m,17,14,-8,+6,+6,,,,,,,,
,d/b+3,l,17,20,-12,+2,+14g,,,,,,,,
,d/b+4,l (TC),15,24~25 cs6~,-12~-11,-1~0,-1~0,,,,,,,,
,b+1,m,15,17~19,-9~-7,+4~+6s,+4~+6s,,,,,,,,
,b+2,m,10,13~14,-5~-4,+6~+7,+6~+7,,,,,,,,
,b+3,m,20,17~18,-15~-14,KND,uKZD,,,,,,,,
,b+4,m,15,15,-7,+4,+4,,,,,,,,
,"u/f+2, 3","h, l","9, 9",20,-20,-9,-9,,,,,,,,
,"u/f+2, 3, 3+4","h, l, mm","9, 9, 10, 10",20,-5,+6,+6,,,,,,,,
,u/b+3,mm (TJ),"14,20","15~16, 24~26 js13~",-15~-13,Launch,Launch,,,,,,,,
,u/b+3 (First hit only),m (TJ),14,15~16 js13~,-24~-23,Launch (JG?),Launch (JG?),,,,,,,,
,u/b+3 (Second hit only),m (TJ),20,24~26 js13~,-15~-13,Launch (JG?),Launch (JG?),,,,,,,,
,u+3,m (TJ),20,20 js9~,-13,KND,KND,,,,,,,,
,u/f+3,m (TJ),20,20 js9~,-13,Launch (JG?),Launch (JG?),,,,,,,,
,u or u/f+4,m (TJ),14,25~27 js15~,-9~-7,0~+2,0~+2,,,,,,,,
,WS+1,m,11,15~17,-11~-9,0~+2,0~+2,,,,,,,,
,WS+2,m,10,14,-7,+4,+4,,,,,,,,
,WS+3,h,17,17~18,-8~-7,-3~-2,-3~-2,,,,,,,,
,WS+4,m,16,11~12,-6~-5,+5~+6,+5~+6,,,,,,,,
,BT d+2,m,17,15~16,-9~-8,KND,CS,,,,,,,,
